param,value,score,win,w1,w2,w3,w4,w5,w6,w7,w8,GAP
w1,0.0,460.0,True,0.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.1,271.0,True,0.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.2,507.0,True,0.2,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.30000000000000004,564.0,True,0.30000000000000004,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.4,535.0,True,0.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.5,503.0,True,0.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.6000000000000001,517.0,True,0.6000000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.7000000000000001,439.0,True,0.7000000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.8,558.0,True,0.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,0.9,560.0,True,0.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.0,560.0,True,1.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.1,564.0,True,1.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.2000000000000002,564.0,True,1.2000000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.3,563.0,True,1.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.4000000000000001,559.0,True,1.4000000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.5,517.0,True,1.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.6,531.0,True,1.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.7000000000000002,537.0,True,1.7000000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.8,554.0,True,1.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,1.9000000000000001,560.0,True,1.9000000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.0,545.0,True,2.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.1,563.0,True,2.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.2,564.0,True,2.2,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.3000000000000003,523.0,True,2.3000000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.4000000000000004,562.0,True,2.4000000000000004,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.5,497.0,True,2.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.6,561.0,True,2.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.7,527.0,True,2.7,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,2.8000000000000003,561.0,True,2.8000000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
